"","ensembl_gene_id","mgi_symbol"
"586","ENSMUSG00000032228","Tcf12"
"587","ENSMUSG00000050627","Gpd1l"
"588","ENSMUSG00000045795","Whamm"
"589","ENSMUSG00000039662","Icmt"
"590","ENSMUSG00000031311","Nono"
"591","ENSMUSG00000090077","Lime1"
"592","ENSMUSG00000026258","3110079O15Rik"
"593","ENSMUSG00000098074","Gm26993"
"594","ENSMUSG00000083992","Gm11478"
"595","ENSMUSG00000027582","Zgpat"
"596","ENSMUSG00000018171","Vmp1"
"597","ENSMUSG00000003575","Crtc1"
"598","ENSMUSG00000097701","Gm17508"
"599","ENSMUSG00000040875","Osbpl10"
"600","ENSMUSG00000098202","B830012L14Rik"
"601","ENSMUSG00000079316","Rab9"
"602","ENSMUSG00000098191","Gm26962"
"603","ENSMUSG00000032115","Hyou1"
"604","ENSMUSG00000098127","Gm4665"
"605","ENSMUSG00000050621","Rps27rt"
"606","ENSMUSG00000097967","Gm27002"
"607","ENSMUSG00000032437","Stt3b"
"608","ENSMUSG00000031995","St14"
"609","ENSMUSG00000081343","Gm16071"
"610","ENSMUSG00000074034","Gm5921"
"611","ENSMUSG00000072582","Ptrh2"
"612","ENSMUSG00000020782","Llgl2"
"613","ENSMUSG00000025813","Homer2"
"614","ENSMUSG00000038690","Atp5j2"
"615","ENSMUSG00000011884","Gltp"
"616","ENSMUSG00000085880","Gm15229"
"617","ENSMUSG00000087469","Gm16142"
"618","ENSMUSG00000080848","Gm9385"
"619","ENSMUSG00000056880","Gadl1"
"620","ENSMUSG00000081875","Gm15223"
"621","ENSMUSG00000031078","Cttn"
"622","ENSMUSG00000051224","Tceanc"
